Project_ID,EF_ID,EF_Title,Study_ID,PrimaryPublication_ID,PrimaryPublication_Title,PrimaryPublication_Author,PrimaryPublication_Country,PrimaryPublication_Year,PrimaryPublication_PMID,PrimaryPublication_Journal,PrimaryPublication_Volume,PrimaryPublication_Issue,PrimaryPublication_Trial_Title,PrimaryPublicationNumber_ID,PrimaryPublicationNumber_Number,PrimaryPublicationNumber_Number_Type,Section,Type,DataPoint_ID,Details_ID,Question,***VALUE,***Notes,Study_ID,EF_ID,***Subquestion,Row_Field_ID,Row_Text,Col_Field_ID,Col_text,Arm_ID,Outcome_ID
,,,,,,,,,17049347,,,,,,,,Arm,,,,,Gamma AP nail,,7630,234,,,,,,,
,,,,,,,,,17049347,,,,,,,,Arm,,,,,Ace nail,,7630,234,,,,,,,
,,,,,,,,,16736148,,,,,,,,Arm,,,,,Gamma nail ,,7631,234,,,,,,,
,,,,,,,,,16736148,,,,,,,,Arm,,,,,"ACE Trochanteric Nail (=another type of IMN) ""ACE TN""",,7631,234,,,,,,,
,,,,,,,,,16059696,,,,,,,,Arm,,,,,"DHS= ""AMBI hip screw""",,7633,234,,,,,,,
,,,,,,,,,16059696,,,,,,,,Arm,,,,,PFN,,7633,234,,,,,,,
,,,,,,,,,16059696,,,,,,,,Arm,,,,,TGN,,7633,234,,,,,,,
,,,,,,,,,16203881,,,,,,,,Arm,,,,,cemented hemi  ,,7634,234,,,,,,,
,,,,,,,,,16203881,,,,,,,,Arm,,,,,PFN  (an IM nail),,7634,234,,,,,,,
,,,,,,,,,15795570,,,,,,,,Arm,,,,,TGN,,7635,234,,,,,,,
,,,,,,,,,15795570,,,,,,,,Arm,,,,,CHS-compression hip screw,,7635,234,,,,,,,
,,,,,,,,,15597171,,,,,,,,Arm,,,,,DHS,,7636,234,,,,,,,
,,,,,,,,,15597171,,,,,,,,Arm,,,,,PFN,,7636,234,,,,,,,
,,,,,,,,,15544079,,,,,,,,Arm,,,,,controls: DHS,,7637,234,,,,,,,
,,,,,,,,,15544079,,,,,,,,Arm,,,,,DHS with calcium phosphate cement,,7637,234,,,,,,,
,,,,,,,,,15292792,,,,,,,,Arm,,,,,non-coated,,7638,234,,,,,,,
,,,,,,,,,15292792,,,,,,,,Arm,,,,,coated,,7638,234,,,,,,,
,,,,,,,,,17905960,,,,,,,,Arm,,,,,PCCP,,7639,234,,,,,,,
,,,,,,,,,17905960,,,,,,,,Arm,,,,,CHS,,7639,234,,,,,,,
,,,,,,,,,16129742,,,,,,,,Arm,,,,,augmented,,7640,234,,,,,,,
